Event Name,Speaker Name,Display Pic url,Designation,Company,Linkedin
AI & Big Data Expo,Jon Hall,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Jon-Hall.jpg,Principal Product Manager,BMC,https://nl.linkedin.com/in/kiaeisinga
AI & Big Data Expo,Kia Eisinga,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/kia.jpg,Senior Data Scientist,TomTom,https://uk.linkedin.com/in/alexander-denev-66a25824
AI & Big Data Expo,Alexander Denev,https://www.ai-expo.net/europe/wp-content/uploads/2018/04/Alex-Denev.jpg,(Formerly) Executive Director – Head of Quantitative Research and Advanced Analytics, IHS Markit,https://ru.linkedin.com/in/mary-dubrovskaya-b218b9173
AI & Big Data Expo,Robby Dick,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Robby-Dick.jpg,Lead Solutions Marketing Manager,BMC,https://www.cio.com/article/3211428/what-is-digital-transformation-a-necessary-disruption.html
AI & Big Data Expo,Mariia Dubrovskaya,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Maria-Dubrovskaya.jpeg,Global Business Executive,Eastwind,https://www.altexsoft.com/blog/engineering/solution-architect-role/
AI & Big Data Expo,Vladimir Dragic,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Vladimir-Dragic.jpg,Director of Digital Transformation.,BMC,https://www.youtube.com/watch?v=yDp_Gukshxs
AI & Big Data Expo,Parag Sharad,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/ParagNew.jpg,Senior  Principal Architect – Manufacturing & High-Tech,Infosys,https://nl.linkedin.com/in/hofri
AI & Big Data Expo,Dr. Mohamed Anas,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/manas_bio_pic.jpg,Engineering Manager,MathWorks,https://uk.linkedin.com/in/mark-braithwaite-178a04124
AI & Big Data Expo,Yehuda Hofri,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Yehuda-Hofri.jpg,CTO | CDO,Transdev,https://ie.linkedin.com/in/jamesgrimes
AI & Big Data Expo,Mark Braithwaite,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Mark-Braithwaite.jpg,Technical Specialist,Wolfram,https://www.linkedin.com/company/rail-cargo-group
AI & Big Data Expo,James Grimes,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/James-Grimes.jpg,Head of Product,Truata,https://uk.linkedin.com/in/garyirvinedrg
AI & Big Data Expo,Mattijs Suurland,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Mattijs-Suurland.png,Business developer Advanced Analytics,Nederlandse Spoorwegen (Dutch Railways),https://nl.linkedin.com/in/jelle-van-jaarsveld-30682195
AI & Big Data Expo,Gary Campbell,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/GC.jpg,Head of IT Sector,Invest Northern Ireland,http://in.linkedin.com/in/mauricecoyle
AI & Big Data Expo,Jelle van Jaarsveld,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/Jelle-van-Jaarsveld.jpg,"Client Growth Director, EMEA",Meltwater,https://www.linkedin.com/company/zeenea
AI & Big Data Expo,Maurice Coyle,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Maurice-Coyle.jpg, Chief Data Scientist,Truata,https://in.linkedin.com/company/igor-inc-
AI & Big Data Expo,Guillaume Bodet,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Zeenea.jpg,VP Product,Zeenea,https://www.linkedin.com/in/osheasuccess2
AI & Big Data Expo,Igor Tevs,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Igor-Tevs.jpg,Business Department Lead,Eastwind,https://fr.linkedin.com/in/andry-razafinjatovo-a26a396
AI & Big Data Expo,Dr. John O’Shea,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/John-OShea-1.jpg,World-Wide Smart Intelligent Solutions Leader,Lenovo  ,https://www.linkedin.com/in/breghtboschker/
